item_name,item_type,ingredients
Mothers Recipe Mixed Pickle,food,"vegetable pieces,(mango,carrot,lime, green chilli, spices & condiments, cottonseed oil,mustard oil, acidity regulator (ins 260) and asafoetida"
Lu Bourn Vita 500Gram Pauch,snack,"glucose syrup, bulking agent (polydextrose), starch, humectant (sorbitol syrup), gelatine, sugar, acids (malic acid, acetic acid), concentrated fruit juices' (apple, lime, orange, lemon, strawberry, blackcurrant, raspberry), colours (anthocyanins, vegetable carbon, paprika extract, lutein, curcumin), coconut oil, flavourings, glazing agent (carnauba wa 'equivalent to 6.9% fruit juice"
Saffola Saftoa 0ats,drink,rolled oats
Namdharis Thoughtful Organic Whole Wheat,drink,whole wheat
ID Wheat Lachha Parantha,drink,"whole wheat flour (atta, 52.75%), ro-purified water, edible vegetable oil (rice bran oil soyabean oil, coconut oil, sesame oil) and iodised salt"
Baidyanath Amla Juice,drink,"pure amla juice, e201, e211, e330"
Chings secret Veg Manchurian masala,condiment,"corn flour, lodised salt, dehydrated garlic, sugar, onion powder, soy sauce powder (soybean, wheat, salt), mixed spices [ginger, cumin, coriander, chilli, pepper], natural colour (ins 150d), flavour enhancer (ins 635), sunflower oil, anticaking agent (ins 551), thickening & stabilizing agent (ins 415), acidity regulator (ins 260), natural flavouring substances. allergen advice: contains wheat and soy. may contain peanuts, tree nuts, sesame seeds, mustard and milk (dairy products)"
Dr. Oetker Veg mayonnaise,condiment,"refined soyabean oil, water, sugar, milk solids, iodised salt, lemon juice, emulsifiers and stabilizers (ins415, ins1442), acidity regulators (ins260, ins330), preservatives (ins211, ins202), antioxidant (ins319). contains milk"
Haldirams Haldiram Nut Cracker,snack,"peanuts , gram pulse flour , corn starch, edible vegetable oil palmolein oil), corn starch, *spices 8 condiments (red chilli powder, black pepper powder, ginger powder, clove powder, cumin powder, big cardamom powder, cinnamon powder, mace powder, nutmeg powder, asafoetida powder, spices extract), lodised salt, black salt, acidity regulator (ins 330) and natural 8 nature identical flavouring substances"
Tropicana Pomegranate Delight,drink,"water, sugar, ';concentrated fruit juices [concentrated pomegranate juice ('3.4%), concentrated apple juice , concentrated red grape juice , concentrated aronia berry juice], acidity regulator (330), iodised salt, stabilizers (466, 440), sweetener (960). contains added flavour (natural and nature identical flavouring substances)"
Haldirams Phulka Roti,food,"whole wheat flour , water, milk, refined sunflower oil, salt"
Cornitos Nacho Crisps Sizzling Jalapeno,snack,"corn , edible vegetable oil (corn oil), sugar, lodized salt, jalapeno, onion powder, garlic powder, ginger, green chili, parsley, milk solids (skim milk powder, whey powder), soya sauce powder, acidity regulator (malic acid - ins 296) contains soya and milk products contains added flavours, natural and nature identical (jalapeno)"
Kissan peanut butter,drink,"roasted peanuts 90% , sugar , edible vegetable oil , salt"
Uncle Chipps Potato chips (Spicy Treat flavour)20rs,drink,"potato, edible vegetable oil (palmolein), *seasoning (sugar, lodised salt, ~spices and condiments, acidity regulators (330, 334, 296), maltodextrin, edible starch, salt substitute (potassium chloride), milk solids, anticaking agents (551, 470), flavour enhancers (631, 627), color (150d), flavour (natural and nature identical flavouring substances), modified starch (1450)). *as flavouring agent. ~contains onion allergen advice: contains milk"
Too Yumm Rings - Tomato Twist,snack,"corn flour , edible vegetable oil (palmolein), seasoning (sugar, salt, &quot;spices and condiments (contains onion and garlic), black salt, acidity regulators (e 296, e 330). flavour enhancers (e 627, e 631), tomato powder . tamarind powder, hydrolysed vegetable protein (soya). anticaking agent (e 551)). anticaking agent (e 170)"
Tropicana Orange Delight,drink,"water, &quot;concentrated orange juice , sugar, acidity regulator (330), iodised salt, stabilizer (440). contains permitted natural colour (160a (i)) and added flavour (natural flavouring substances)"
Saffola Classic masala,food,"rolled oats , millets [jowar flare), bajra flakes ], maltodextrin, lodised salt, spices and condiments-, dried vegetables (carrots , onion - flakes , green peas ), sugar, starch, refined rice bran oil, natural flavouring substances, hydrolysed vegetable protein, flavour enhances ( 627, ins 631), nature-identical flavouring substances. contains onions, turmeric, pepper, red chill, cumin, garlic, fenugreek, clove, nutmeg. allergen advice: contains oats, soy & sulphite, may contain trace of milk & other gluten containing cereals"
osam misti dahi,food,"th het content (when packed): 80 gms for mrp in jharkhand (jh), bihar (br) & other state (os) batch no. & use-by-date see seal lid customer care no.: 7070894555 email: customercare@osamdairy.com website: www.osamdairy.com for best result, store continuosly under refrigeration below 6°c until use-by-date keep your city clean"
Diamond Roasted Peanut,drink,"groundnut kernels, lodized salt"
Bam Bam Masala Roasted Chana,food,"roasted benga gram, black salt, vegetable oil, mango sunrice. coriander powder, jeeravan masala. compound asafoetida, acidity regular (ins-330) etc"
Amul Protein Buttermilk,drink,"_milk_ solids, water, iodized salt, stabilizers (440, 418), active culture"
Piknik Classic Tomato Chilli (fried Indian snack),drink,"wheat flour, edible starch, edible vegetable oil, flour of _soya_, corn & potato, sugar, salt, tomato powder, onion powder, garlic powder, chilli pewder, maltodextrin, acidifying agent (e296, e330), baking powder, ground spices and condiments. contains added flavours (natural and nature identical-tomato) contains _gluten_"
Balaji Wafers Bhel Mix,snack,"edible vegetable oil (palmolein, rice bran, corn), chickpea flour, puffed rice , sugar, spices & condiments 2% (chilli, cumin, clove, cinnamon, coriander dry mango, ginger, cardamom, black pepper, mustard, fennel, turmeric), edible common salt, dehydrated vegetable powder (garlic, lime, green chilli, onion, tamarind), acidity regulator (ins 330), flavour enhancer (ins 635), anticaking agent (ins 551), natural & nature identical flavouring substances (chilli, lime). allergen advice: contains mustard"
Charliee Butter Chakli,snack,"tapioca flour , refined palmolein oil , black matpe flour , lodised salt , butter"
Aquafina Packaged Drinking Water,drink,"treated water, minerals (salts of magnesium and calcium)"
Haldiram Moong dal,drink,"split pulse moong (moong dal) , refined cotton seed oil & lodised salt"
LaxmiNarayan Cornflakes Chiwda (fried Indian snack),snack,"cornflakes, peanuts, peanut oil, sugar, raisins, cashewnuts, coconut, sesame, iodised salt, hydrogenated vegetable oil, chilli powder, turmeric powder, asafoetida, licorice root"
Cadbury Temptations Rum  Raisin Chocolate Bar,snack,"sugar, cocoa butter, raisins (18%*), cocoa solids, milk solids, emulsifiers (442, 476), flavours (natural, nature identical and artificial (rum, raisin, vanilla) flavouring substances). allergen information: contains milk, sulphites. may contain tree nuts and soy"
Charliee Yellow Chana,drink,"chana (chickpeas (gram) , lodised salt , turmeris powder"
Athavales Patal Poha Chivada (Indian Snack),snack,"rice flakes, refined palmolein oil, peanuts, sugar, coconut flakes, chilli, cumin, coriander, salt, curry leaves, turmeric, tamarind, asafetida"
Balaji Wafers Rumbles Potato Chips Pudina Twist flavour,drink,"potato , edible vegetable oil (palmolein), edible common salt, maltodextrin, spices & condiments 2 % (cumin, coriander. cinnamon), dehydrated vegetable powder (onion, garlic), sugar, black salt, acidity regulator (ins 330), anticaking agent (ins 551). flavour enhancer (ins 627, ins 631), natural & nature identical flavouring substances (mint )"
LaxmiNarayan Patal Poha Chiwda (Indian snack),snack,"nylon poha, chana dal, groundnut (peanuts), groundnut oil, sugar, sesame, green chilli, black salt, salt, turmeric powder, cumin powder, mango powder, asafoetida, mustard powder, curry leaves"
Anil Roasted Short Vermicelli,drink,refined wheat flour (maida)
The Whole Truth Peanut Butter Protein Bar,food,"peanuts, dates, cranberries, whey protein concentrate, cocoa butter"
Unibic Butter Cookies Sugar Free75g,drink,"refined wheat flour (maida), butter , with maltitol, leavening agents, sweetener, emulsifier, salt"
Lays Spanish Tomato Tango Flavour,drink,"potato, edible vegetable oil (palmolein, rice bran oil), *seasoning (sugar, lodised salt, maltodextrin, flavour (natural & nature identical flavouring substances), spices & condiments, tomato powder , hydrolysed vegetable protein, wheat fibre, dextrose, edible vegetable oil (coconut oil), flavour enhancers (627, 631))"
Tedhe Medhe - Bingo,snack,chili powder extra
Nestle KitKat,snack,"sugar , milk solids , refined wheat flour (maida) , edible vegetable fats , hydrogenated vegetable fats (contains sesame oil) , cocoa solids , emulsifier (soya lecithin) , iodised salt"
Nescafe Sunrise,drink,blends of coffee - 70% chicory - 30% sugar 70 ml of milk 30 ml of water
Home chef Pasta Macaroni Elbow,drink,wheat semolina water
The Spice Club Chia Seeds,drink,chia seeds
Continental Strong,drink,coffee beans chicory
Apis Classic Dates,drink,non gmo seeded dateswashed and packed under strict hygienic conditions free from preservatives
Daawat Rozana Basmati Rice,drink,basmati rice
Amul Ice Cream,sweet,milk solids sugar cashew chikki stabilisers permitted emulsifier
English Oven Brown Sliced Brown Bread,drink,"wheat flour [atta ], refined wheat flour [maida ], water, yeast, sugar, iodized salt, wheat gluten, edible bran vegetable oil (palm), class ii preservative (282), malt powder, wheat improvers [170 (i), 510, 923, 1100], acidity regulator (260), emulsifiers [471, 472e, 481 (i)] and antioxidant (300)"
Oreo,snack,"sugar, unbleached enriched flour (wheat flour, niacin, reduced iron, thiamine mononitrate {vitamin b1}, riboflavin {vitamin b2}, folic acid), palm and/or canola oil, cocoa (processed with alkali), high fructose corn syrup, leavening (baking soda and/or calcium phosphate), salt, soy lecithin, chocolate, artificial flavor"
Soft spot plant based smoked cheese,food,"water, potato starch, coconut oil, cashews, corn starch, salt, vegan flavours, carrageenan, nutritional yeast, lactic acid, annatto"
Saras Dahi,sweet,"milk solids, pasteurized toned milk & active culture. (min. snf 8.5%, fat 3.0%) lic. no. 10012013000010 batch no., pkd & use by date, mrp,u.s.p/gm (incl.of all taxes) see top lid 0090 8 सरस पाश्चुराइ"
Kozhi Banana chips,drink,"raw banana , refined palmolein, salt, turmeric, colour (102)"
Chitale Patal Poha Chivda (Indian snack),snack,"rice flakes, ground nuts, edible vegetable oil (groundnut oil), dry coconut, salt & spices"
Parle Mazelo Candy,sweet,"sugar, liquid glucose and acidity regulators (270, 325). contains permitted synthetic food colour (171,122,102,133) and added flavours (artificial flavouring substances - litchi, watermelon, apple, guava, banana)"
Mayora Super Bubur Kuah Kari,food,"rice , crackers (contains flavor enhancer monosodium l-glutamate, raising agent, synthetic color sunset yellow fcf ci. no. 15985), tapioca starch, fried onion, flavor enhancer (monosodium l-glutamate and disodium 5'-ribonucleotide), salt, sugar, curry spice mix, maltodextrin, dried vegetable (leek and carrot), texturized vegetable protein, vegetable oil (contains tbhq antioxidant), hydrolyzed vegetable protein, garlic powder, pepper powder, synthetic chicken flavor, anticaking silicon dioxide, acidity regulator, natural color caramel iv. allergen information: contains soy"
Milk Ma Cashew biscuits,snack,"wheat flour , sugar , veg. shortening , cashew , custard powder , salt and flavour"
Milk Ma Milk-Ma whole wheat critters,drink,"wheat flour, sugar, veg. shortening, milk, mixed spices and glucose powder"
Milk Ma Milk-Ma Butter Cookies,drink,"wheat flour, sugar, veg. shortening, elaichi, salt and flavour"
Yakult,drink,"ingredients water, sugar, skimmed milk powder, glucose, probiotic-lactobacillus case strain shirota (lcs), contains added natural & natural identical flavours allergen information: contains milk"
dabar Kundan.kumar,sweet,bur haskar carna peite deaton ele
Patanjali Divya Jal,drink,"treated water, salts of magnesium, calcium and potassium"
Rasmalai Gold Premium Jaggery pieces,sweet,concentrated sugarcane juice
Mothers Recipe Mixed pickle,drink,"moxed fruits & vegetable pieces (mango, spices and condiments, acidity regulator (ins 260) and . iodized salt, water, cottonseed oil, chilli powder. caror lime, green chilli, green tomato and amba halder)"
Pepsico Mountain dew 2ltr,drink,"carbonated water, sugar, acidity regulators flavour inatural flavouring substances, preservative (2 caffeine (13 mg/100 g), stabilizer (445), colour (102)"
Pepsico Pepsi Brand Mirinda orange flv 2ltr,drink,"carbonated water, sugar, acidity regulators e330 stabilizers (1450, 445), preservative (211), colour (110), flavour natural flavouring substances"
Thums Up  (Coca-Cola),drink,"carbonated water, sugar, acidity regulator (330 caffeine (8.1 mg/100 g), sweetener (960), colour (150 d), flavours natural, nature-identical & artificial (cola) flavouring substances)"
Mondelez Cadbury 5 Star,snack,"sugar, liquid glucose, invert sugar, milk solids, hydrogenated oil, cocoa butter, cocoa solids, fractionated fat, lactose-rich deproteinized whey permeate powder, emulsifiers (442, 471, 476), hydrolyzed vegetable protein, lodised salt, flavours (natural, nature identical and artificial (caramel and vanilla) flavouring substances)"
Sting Energy,drink,"carbonated water, sugar, acidity regulators (330, 331), sequesterants (452(1), 385),taurine, caffeine , preservatives (211, 202), sweeteners (955, 950), inositol, vitamins premix. contains permitted synthetic food colour (129) and added flavour (natural and nature identical flavouring substances)"
adani Wilmar Fortune premium kachi ghani pure mustard oil,drink,mustard oil
The Better Fish Barramundi,food,barramundi
Continental Coffee Limited Continental This is Caramel coffee,drink,"coffee creamer [glucose syrup, hydrogenated vegetable fat, sodium caseinate (milk protein), emuisifier (471), stabilizer (340( 331 452) anti-caking agent (551), dairy flavour), sugar, instant coffee & salt. contains added flavours (nature identical & artificial flavouring substance) ingredients after reconstitution: water, coffee creamer [glucose syrup, hydrogenated vegetable fat, sodium caseinate (milk protein), emulsfer(471), sttabilizer340.337.452), anti-caking agent 551), dairy flavour), sugar, instant coffee & salt"
Samyang Buldak 2x spicy chicken noodles,drink,"noodle: refined wheat flour, modified starch (ins 1420), refined palm oil, wheat gluten, salt, emulsifier (soy lecithin-ins 322), acidity regulator [potassium carbonate (ins 5011), sodium carbonate (ins 500i), disodium orthophosphate (ins 339ii)], guar gum (ins 412), riboflavin (ins 101), citric acid (ins 330), green tea flavour (nature-identical) soup: water, soy sauce (soyabean, water, salt, garlic, flavour enhancer-disodium 5'-ribonucleotide), white sugar, artificial chicken flavour, chilli pepper powder, red pepper powder, curry powder [cumin powder, salt, dextrose, red pepper powder, clove powder, nutmeg powder, rosemary powder, garlic powder, onion powder, ginger powder, paprika oleoresin (ins 160ci)], onion, garlic, modified starch (ins 1420), chilli extract, black pepper powder, lactobacillus fermented powder, monosodium l-glutamate (ins 621), paprika powder flake: roasted sesame, roasted seaweed contains added monosodium l-glutamate"
Pringles Desi Masala Tadka Flavour,drink,"dried potato , edible vegetable oil (palm oil), corn flour, wheat starch, desi masala tadka flavour seasoning [salt, maltodextrin, vegetable powders {onion powder , garlic powder , tomato powder }, sugar, spices {black pepper powder , ginger powder , turmeric powder }, flavouring substances (natural identical), acidity regulators (ins 330, 296, 334), anticaking agent (ins 551), stabiliser {ins 341(iii)}, preservative {ins 262(i)}, flavour enhancers (ins 627, 631), paprika extract , emulsifier (ins 414)], emulsifier (ins 471), maltodextrin, acidity regulator (ins 330)"
Man matters Vegain,food,"pea protein, brown rice protein, moong bean protein, spirulina extract (whole algoe protein), cocoo, ashwogandha extroct, naci, sweetener, (ins 955), xanthan gum (ins 415), silicon dioxide & digezyme. vitamins: beta carotene, thiamine hci, profile 9.9 plante stren 0.2 132 5.2 82.5 3.6 198 30 247.5 37.5 9.9 75 vhami 16.5 88.2 16.5 bone 4.4 ascorbic acid, folic acid, cyanocobalamin, cholecalciferol, d-alpha tocopherol, phytonadione, menaquinone, biotin, calcium d pantothenate. 0.01 1.65 40 132 88.2 1.65 80 33 37.5 23.1 158 75 42 chloride, potassium lodide, manganese nutraceutical 660144 che"
slice,drink,"water, sugar, *concentrated mango pulp , acidity regulator (330), favour (natural and nature identical falvouring substances ), stabilizers (466, 440), sweetener (960a), preservative (202), colour (110) *equivalent to 10.2% mango pulp in reconstituted beverage"
Paper boat Swing Juicier Drink Yummy Guava,drink,"water, guava puree . sugar, iodised salt, acidity regulator (330), flavours (nature-identical and natural flavouring substances), stabilizers (466, 412) and antioxidant (300)"
MEWATI  Mountain Dew,drink,"carbonated water, sugar, acidity regulators (330, 331), flavour (natural flavouring substances), preservative (211), caffeine (1,3 mg/100 g), stabilizers (445), coulour (102)"
Amul Protein Lassi - Mango flavour,drink,"milk solids, water, sweeteners (965, 960), mango fruit compound , stabilizers (440, 418), acidity regulator (330), nature identical and artificial flavouring substances (mango), active culture, colours (160(b), 102, 110]. allergen information: contains milk"
Britannia Nutri Choice Digestive,snack,"refined wheat flour (maida), wheat flour(atta) ,refined palm oil, sugar, wheat bran,liquid glucose, milk solids, maltodextrin ,raising agents[503(ii)&500(ii)], iodised salt ,emulsifiers[32(i),471&472e],malt extract and dough conditioner(233).contains added flavours [nature identical & artificial (vanillin) flavouring substances]"
Britannia Good Day Butter Cookies,snack,"refined wheat flour (maida), sugar, refined palm oil, butter , invert sugar syrup, milk solids, raising agents (503(ii), 500(ii)], iodised salt, emulsifiers [322(i), 471, 472e] and flavours [natural, nature identical & artificial (butter, milk & vamilla) flavouring substances]. (numbers in brackets as per international numbering system) contains wheat, milk and soya"
Nestlé maggie masala chuppa noodles,drink,"noodles: refined wheat flour (maida), palm oil, lodized salt, thickeners (412 & 500), humectant (451)). acidity regulators (501). 500) & 330). tastemaker: mixed spices (18.42), dehydrated vegetables (14) carrot fakes (7.5). green peas (6.92). sugar, starch, lodized salt, nature i ical flavouring substances, tomato paste (5.62), toasted onion flakes (4.72), red wheat flour maida), roasted garlic flakes, thickeners (508 & 415), onion powder 2.82), palm oil herbs, natural flavouring substance, yeast extract powder, flavour enhancer (639) tamarind powder, acidity regulator (330) and wheat gluten. contains wheat may contains milk, oats & soy. 602 01/00"
Nissin top ramn,drink,"noodles : refined wheat flour (maida), edible vegetable oil (palm oil), lodised salt, acidity regulators [ins 500(i) & ins 451(i)], thickener (ins 412) & antioxidant (ins 319). seasoning mix : corn starch, iodised salt, sugar, onion powder, mixed spices 7.9% (red chilli, turmeric, cumin, ginger, cinnamon, fenugreek, clove, asafoetida), noodle powder {refined wheat flour (maida), edible vegetable oil (palm oil), lodised salt, acidity regulators [ins 500(i) & ins 451(i)], thickener (ins 412) & antioxidant (ins 319)}, yeast extract powder, edible vegetable oil (palm oil), garlic powder, tomato powder, flavour enhancers (ins 631 & ins 627), dehydrated green coriander leaves, acidity regulator (ins 330), colours [ins 160c(i) & ins 150d], nature identical flavour & anticaking agent (ins 551)"
Unibic cashew badam cookies 500g,snack,"refined wheat flour (maida), sugar, edible vegetable oil (palm), milk solids, dry nuts (almond and cashew), golden syrup, leavening agents (ins 503 ii, ins 500 ii), emulsifiers (ins 322 from soy, ins 472e, ins 435 and ins 471), iodised salt, artificial flavouring substances (saffron, cashew, almond & milk). allergen advice: contains wheat, milk, soy and nut"
Johnson  Johnson ORSL Plus Electrolyte Drink Orange,drink,"water, sugars (sucrose, dextrose), orange juice (reconstituted), sodium citrate, acidity regulator (ins 330), potassium chloride, sodium chloride, vitamin c, antioxidant (ins 320),taurine, magnesium sulphate and calcium lactate"
Hersheys Milk shake chocolate flavour 180ml,drink,"water, sugar, milk solids , cocoa solids , emulsifiers (460(i),466, 471), mineral (calcium carbonate), flavours (nature identical flavouring substances), sequestrant (339 (ii)), edible common salt, mineral (zinc sulphate), vitamin e (acetate), vitamin a (acetate), vitamin d2 (ergocalciferol), vitamin b1 (thiamine chloride hydrochloride), & vitamin b2 (riboflavin)"
RK STAINLESS,food,theek se nahin chal rahi hai
RUM-PUM VEG NOODLES,drink,"wheat flour, iodised salt, chilli, vegetable oil, tomato ketchup, chilli sauce, soya sauce, spices, monosodium glutamate, edible gum and permitted food additives"
ACT II ACT TT GOlDEN SIZZLE,snack,"popping corn , refined edible palmolein oil (tbhq), lodized salt & beta carotene"
Gamini,food,barcode not show
happydent,snack,"neem (azadirachta indica) satva 0.57 mg, pudina (mentha arvensis satva 284 m pudinatail mentha spicatap 16.09 mg, meetha (baking soda 0.40 mg, sugar free base (xylitol, sorbitol, maltitol gum arabic) q.s., gum base a.s., approved flavour"
Coca-Cola Company Fanta Orange Flv 2L,drink,"carbonated water, sugar, acidity regulator (330), stabilizers (414,445) preservative (211), colour (110), flavours (natural & nature-identical flavouring substance)"
Mr Makhana Lime  Chilli Popped Lotus Seeds,drink,"makhana (fox nuts) 70%, olive oil, seasoning [(dried garlic, dried ginger, dried mango, dried onion, red chilly, green chilly, coriander leaves, turmeric, cumin, black pepper, nutmeg, mace), salt, sugar, malto-dextrin, lemon powder, roasted peanut, acidity regulator (e 330), roasted peanut, flavors enhancer (e627) & (e631), anti-caking agent (e551)]"
Lahori Zeera,drink,"carbonated water, sugar, lemon juice concentrate equivalent to 2.5% lemon juice reconstituted, acidity regulator ons 300 stabiliser (ins 414), contains permitted natural colour (ins-150d) and flavours (natural & nature-identical flavouring substances), black salt, iodised salt cumin seed, black pepper & dry ginger powder, class ii preservative (ins-211). fins-international numbering system)"
Tomato Ketchup,condiment,"water, tomato paste, sugar, salt, acidity regulator (e-260),stabilizer, onion powder, spices and condiments"
Bauli Savoriz,drink,"puff roll (~71%) - refined wheat flour (maida), water, partially hydrogenated oil, refined palm oil, sugar, bakery mix [emulsifier (ins 471), wheat gluten, enzymes {flour improver - ins 1101(i), 1100(i)}, antioxidant (ins 300)], wheat gluten, humectant [ins 420 (ii)], yeast, milk solids, emulsifier [ins471, 477, 472b, 470(i)], edible common salt, preservative (ins 282), sourdough powder, flavour (nature identical and artificial flavouring substances - cheese, butter) cheesy jalapeno pepper filling (~29% ) [centre filling - refined soyabean oil, water, sweetener [ins420(i)], maltodextrin, humectant (ins 422), milk solids, edible common salt, cheese powder , jalapeno pepper, mixed spices, acidity regulator (ins270), preservatives (ins 211 & ins 202)], paprika oleoresin, flavour (nature identical and artificial flavouring substances - jalapeno)"
Cothas Classic Cold Coffee,drink,"toned milk, sugar, coffee extract and acidity regulator [ins 339 (iii)]"
The Coca-Cola Company Sprite Lemon Lime flv Coke Brand 2ltr,drink,"carbonated water, sugar, acidity regulators (330, 331(i)), preservative (211), flavours (natural flavoring substances"
Pepsico Lipton Green Tea,drink,"flavoured tea tulsi max 2% w/w .contains added natural flavours contents: flavoured tea unilever beverages l zero calories: when enjoyed without milk and sugar reduce waist circumference with the power of catechins: basis literature, having 7-8 cups of green tea/day (-600 mg catechins) for 8-12 weeks helps reduce waist circumference. note: lipton green tea has =20-30 mg caffeine/cup"
Coke Coca-Cola,drink,"carbonated water, sugar, acidity regulator (338), caffeine (8.7 mg/100 g), colour (150d), flavours (natural flavouring substances)"
Bolas Agro Molsis Zahidi Dates,snack,wet dates (zahldi)
Paper Boat Swing Mixed Fruit Medley,drink,"water, sugar, mango pulp * 0ml serving, apple juice concentrate orange juice concentrate * %rda per acidity regulator (citric acid), iodised salt flavours (nature-identical and natural), stabilizers (carboxy methyl cellulose and guar gum) and antioxidant (ascorbic acid) &quot;reconstituted 13% mixed fruit juice 35% 0% 181 no gmos** **no bio engineered ingredients. for manufacturing date 2% mrp (incl. of all taxes), energy use by date and batch number: see below fi 260209 0"
Britannia Toastea premium rusk,drink,"refined wheat flour (maida) (71), sugar refined palm and palmolein oil, semolina (suji) , yeast, invert sugar syrup, vital gluten, 1odised salt, improvers (11000), 1102, 11041, spices-0.19% (green cardamom seeds& its oil), wheat fibre, emulsifier blend (481(), 471, 472e] and antioxidant (300)"
Sunfeast All Rounder,snack,"refined wheat flour (maida), refined palm oil, sugar, refined palmolein, dehydrated potato tato , emulsifier (ins 471), stabilizer (ins 450(0)), and antioxidants (ins 223, ins 330)], liquid glucose, starch dized salt, invert syrup, milk solids, raising agents [ins 500(1),ins 503(i)], emulsifiers (ins 3220), ins 471, ins 472e nd flour treatment agents [ins 223, ins1101(0)). ontains added flavour(s)"
Britannia 50-50 Maska Chaska,snack,"refined wheat flour (maida), refined palm&palmolein oil, sugar, liquid glucose, raising agents ([503(1), 341(1), 500(1) & 450( butter , black salt, milk solids, dehydrated vegetable (chives) , iodised salt, nature identical flavouring substance, dough conditioner (223) and improver[1101(0)"
Kelloggs Kelloggs Corn Flakes,drink,"corn grits , sugar, cereal extract, lodized salt, vitamins, minerals and antioxidant (ins 320)"
Parle Krack Jack,snack,"refined wheat flour (maida), refined oils (palmolein and palm), sugar , raising agents [503( ii ), 500(ii) ,341(1), invert sugar syrup, iodised salt, yeast, acidity regulators [ 270, 296 1, flour treatment agents [223, 1101(ii), 1100(1)1, emulsifier of vegetable origin [472e]"
Swastiks Mango Pickle,drink,"mango pieces,common salt,mixed spices powder,refined rice bran oil,garlic&citric acid"
Kellanova PRINGLES ( ORIGINAL ),snack,"dried potato , edible vegetable oil (palm oil), corn flour, starch, emulsifier (ins 471), maltodextrin, salt, acidity regulator (ins 330)"
Coke Brand Coca Cola 2ltr,drink,"carbonated water, sugar, acidity regulator (338), caffeine (8.7 mg/100 g), colour (150d), flavours (natural flavouring substances)"
Parle Frooti,drink,"water, mango pulp , sugar, acidity regulators [ins330, ins 331(iii)], preservatives (ins211, insi ins202), antioxidant (ins300), nature-identical flavouring substances (mango) and synthetic food colour (ins110)"
Happydent Gum,snack,"polyols (maltitol, xylitol , sorbitol), gum base, humectant (ins 422), thickeners (ins 1405, ins 1412, ins 415 & ins 466), flavours [natural, nature-identical and artificial (mint) flavouring substances}, sweetener (ins 951), emulsifiers (ins 322, ins 473), glazing agents (ins 903, ins 901, ins 904), antioxidant (ins 321), colours (ins 102, ins 133)"
heritage namkeen Pvt ltd green peas onion garlic,food,"green peas onion & garlic green pease, refined palmolein oil, salt, sugar, spices &condiments [(onion 0.5%), garlic , parsleyl, acidity regulator (citric acid), anti caking agent (sicon dioxide), flavour ennancer (disodium guanylate), natural color (curcumin ins 100), synthetic color (brüilant blue ins 133). allergy information: may contain soyabean. nutrition information servings per package: 1 serving size 2/5 cup (30g) % dally average qty per intake (per aty pee serving 130 kcal 530 kj avarage serving) 100 g 7% 510 kcal 2130 aj energy 26 60 00 000 470 80 20 protein total fa - saturated lat tran fet - cholestarol carbohydrate - total sugars added sugan/ 0 mg hacibution int store in cool & dry place"
kissan mixed fruit jam,drink,"sugar, mixed fruit pulp blend - 60% (papaya pulp, pear pulp, apple juice, banana pulp, pineapple juice, orange juice, mango pulp, grape juice), acidity regulator e330, thickener e440, iodised salt, vitamins & mineral, preservative-e202, natural flavouring substances, food colour-e122"
Sundrop Peanut Butter Regular Creamy,drink,"roasted peanuts , sugar, stabilizer (mono and diglycerides of fatty acids), refined edible groundnut oil (tbhq) & lodized salt"
Amul 99 Cacao Ultimate Dark Chocolate,snack,"cocoa solids, emulsifiers (322,476)"
PepsiCo Mountain Dew,drink,"carbonated water, sugar, acidity regulators (330 ,331), flavour (natural flavouring substances), preservative (211), caffeine (13 mg/100 g), stabilizer (445), colour (102)"
Inc. Lays - Indias Magic Masala,drink,"potato, edible vegetable oil (palmolein oil), *seasoning (&quot;spices & condiments, iodised salt, maltodextrin, black salt, sugar, tomato powder, acidity regulators (330, 296, 334), flavour (natural and nature identical flavouring substances), anticaking agent (551), colour (160c)). *as flavouring agent. ~contains onion and garlic"
Farmland frozen green peas,drink,farmland ewhering labe frozen green peas no added colours or preservati
cornitos Nacho Crisps,food,calories - 51% total fat-9% sodium-8% total carbohydrate-6% dietary fiber-4%
Bikano Navratan mixture,snack,"edible vegetable oil (refined palmolein oil, refined ricebran oil, refined cottonseed oil), split bengal gram , lentils (18.496), maize flour, peanuts (5.29), rice flakes, spices and condiments (red chilli powder, dried mango powder, cumin powder, dried ginger powder, black pepper powder, clove powder, asafoetida powder, cinnamon powder, coriander powder, green chilli powder, carom seeds powder, nutmeg powder, cardamom powder, mace powder, bay leaves powder), green peas , cornflakes, chickpea flour, potato chips, rice flour, chickpeas, lodized salt, turmeric powder, spinach powder, black salt, acidity regulator (e 296), contains permitted natural [e 100 and e141(ii)] and synthetic food colour (e 133/fd&c blue no.1) and added flavour (nature identical flavouring substances)"
sofit Soya Drink Vanilla Flavour,drink,"water, soyabeans, sugar, mineral (tricalcium phosphate), emulsifier (460 (i),466), oligofructose (dietary fibre) . acidity regulator (500 (ii), flavours (nature identical flavoring substances), edible common salt, vitamin e (acetate), vitamin a (acetate), vitamin b1 (thiamine mononitrate), vitamin b2 (riboflavin) and vitamin b12 (cyanocobalamin)"
